stt,ten_tai_khoan,noi_dung,thoi_gian
1,KienH,dream life thật sự tr ơi,2026-04-11 21:19:24
2,Ánh Mây,🍔”dở” =)))),2026-04-11 17:50:18
3,Rilakkuma,sao c bt bỏ ăn sang ko tốt mà vẫn làm v the ạ😭😭 rất thac mắccc,2026-04-11 17:13:46
4,Oops_itsvy,yassss arirang rất hayyyyyyy,2026-04-11 17:25:42
5,Kth bô zai thế,[Nhãn dán] Omg bả là army hâ,2026-04-11 22:25:09
6,trái tim nhiều vết xước,"thật sự là bt đến ý từ hồi ý còn làm content về bts luôn ấy, giờ trưởng thành quá",2026-04-11 19:00:38
7,lá ngón,nếu chuyển đi thì nhà này bỏ trống hả em,2026-04-11 17:52:13
8,dii,Phải hồi xưa bé Ý có acc tik về bities hong nhỉ,2026-04-11 17:53:28
9,Ivy Huynh ❤️,vì cai video này mà 2 tieng roi minh chua thoat ra dc..1 bé em vua giau vua gioi vua de thuong thêm bf cua e nua..c chúc 2 e đat đc moi thu nha..Mong một ngày c có thể an đám cưới online của 2 đứa nha..From : Melbourne 🥰,2026-04-13 20:48:29
10,omgcheesee,c có đi arirang tour úc ko ạ,2026-04-15 22:51:25
11,minhAn00001,ohhh,2026-06-09 06:53:00
12,baobei,Kakaa hoá ra cổ cũng nghe và xem BTS 🥰🥰🥰,2026-04-12 23:08:48
13,Ngọc Hà,"B này ko gắn mi mình lại thấy xinh , đáng yêu hơn nhiều.",2026-06-09 17:00:27
14,quanhvu8,"c ơi c xin ngta hand check kiểu j v ạ, e cug mn xin mà sợ họ gắt qus ạ",2026-04-11 22:15:37
15,Yoonnie🐱,[Nhãn dán] Trời trời chỉ cũng là army àaaaaa,2026-06-07 11:02:55
16,cô bé tình nguyện,Mặt mộc siêu xinh lun ạaa,2026-04-12 13:58:48
17,🦅🦅🦅,xin in4 sweater vs ak 😭,2026-04-16 08:42:10
18,Túc Vũ,Ôi Bangtan 💜,2026-06-08 11:05:52
19,rau má đậu đỏ sữa dừa 😋,bị nghiện xem video của chị vl kiểu tỏa ra năng lượng tích cực í,2026-04-12 00:57:19
20,🌷,Huhu tnhien dạo này thít xem vid vlog như này của chị quá . Mấy lúc mất động lực xem chị hoài ạ . Mong chị làm thiẹt nhìu nữa nhaaaaaa🥰🥰🥰,2026-04-13 18:59:21
